SPL,TMS,TDI,TDO,CST,FST,HCST,HFST
787,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
788,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
789,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
790,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
791,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
792,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
793,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
794,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
795,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
796,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
797,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
798,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
799,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
800,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
801,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
802,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
803,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
804,1,1,0,4,5,ST_SHIFT_DR,ST_EXIT1_DR
805,1,1,0,5,8,ST_EXIT1_DR,ST_UPDATE_DR
806,0,1,0,8,1,ST_UPDATE_DR,ST_RUN_TEST_IDLE
807,0,0,0,1,1,ST_RUN_TEST_IDLE,ST_RUN_TEST_IDLE
808,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
809,1,0,0,2,9,ST_SELECT_DR_SCAN,ST_SELECT_IR_SCAN
810,0,0,0,9,10,ST_SELECT_IR_SCAN,ST_CAPTURE_IR
811,0,0,0,10,11,ST_CAPTURE_IR,ST_SHIFT_IR
812,0,0,1,11,11,ST_SHIFT_IR,ST_SHIFT_IR
813,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
814,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
815,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
816,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
817,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
818,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
819,1,0,0,11,12,ST_SHIFT_IR,ST_EXIT1_IR
820,1,0,0,12,15,ST_EXIT1_IR,ST_UPDATE_IR
821,0,0,0,15,1,ST_UPDATE_IR,ST_RUN_TEST_IDLE
822,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
823,0,0,0,2,3,ST_SELECT_DR_SCAN,ST_CAPTURE_DR
824,0,0,0,3,4,ST_CAPTURE_DR,ST_SHIFT_DR
825,0,0,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
826,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
827,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
828,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
829,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
830,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
831,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
832,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
833,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
834,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
835,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
836,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
837,0,1,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
838,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
839,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
840,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
841,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
842,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
843,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
844,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
845,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
846,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
847,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
848,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
849,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
850,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
851,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
852,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
853,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
854,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
855,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
856,1,0,0,4,5,ST_SHIFT_DR,ST_EXIT1_DR
857,0,0,0,5,6,ST_EXIT1_DR,ST_PAUSE_DR
858,1,0,0,6,7,ST_PAUSE_DR,ST_EXIT2_DR
859,0,0,0,7,4,ST_EXIT2_DR,ST_SHIFT_DR
860,1,1,0,4,5,ST_SHIFT_DR,ST_EXIT1_DR
861,1,1,0,5,8,ST_EXIT1_DR,ST_UPDATE_DR
862,0,1,0,8,1,ST_UPDATE_DR,ST_RUN_TEST_IDLE
863,0,0,0,1,1,ST_RUN_TEST_IDLE,ST_RUN_TEST_IDLE
864,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
865,1,0,0,2,9,ST_SELECT_DR_SCAN,ST_SELECT_IR_SCAN
866,0,0,0,9,10,ST_SELECT_IR_SCAN,ST_CAPTURE_IR
