SPL,TMS,TDI,TDO,CST,FST,HCST,HFST
     1718,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
     1719,1,0,0,2,9,ST_SELECT_DR_SCAN,ST_SELECT_IR_SCAN
     1720,0,0,0,9,10,ST_SELECT_IR_SCAN,ST_CAPTURE_IR
     1721,0,0,0,10,11,ST_CAPTURE_IR,ST_SHIFT_IR
     1722,0,0,1,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1723,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1724,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1725,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1726,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1727,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1728,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1729,1,0,0,11,12,ST_SHIFT_IR,ST_EXIT1_IR
     1730,1,0,0,12,15,ST_EXIT1_IR,ST_UPDATE_IR
     1731,0,0,0,15,1,ST_UPDATE_IR,ST_RUN_TEST_IDLE
     1732,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
     1733,0,0,0,2,3,ST_SELECT_DR_SCAN,ST_CAPTURE_DR
     1734,0,0,0,3,4,ST_CAPTURE_DR,ST_SHIFT_DR
     1735,0,0,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1736,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1737,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1738,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1739,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1740,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1741,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1742,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1743,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1744,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1745,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1746,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1747,0,0,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1748,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1749,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1750,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1751,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1752,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1753,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1754,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1755,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1756,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1757,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1758,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1759,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1760,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1761,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1762,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1763,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1764,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1765,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1766,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1767,1,0,0,4,5,ST_SHIFT_DR,ST_EXIT1_DR
     1768,1,0,0,5,8,ST_EXIT1_DR,ST_UPDATE_DR
     1769,0,0,0,8,1,ST_UPDATE_DR,ST_RUN_TEST_IDLE
     1770,0,0,0,1,1,ST_RUN_TEST_IDLE,ST_RUN_TEST_IDLE
     1771,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
     1772,1,0,0,2,9,ST_SELECT_DR_SCAN,ST_SELECT_IR_SCAN
     1773,0,0,0,9,10,ST_SELECT_IR_SCAN,ST_CAPTURE_IR
     1774,0,0,0,10,11,ST_CAPTURE_IR,ST_SHIFT_IR
     1775,0,0,1,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1776,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1777,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1778,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1779,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1780,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1781,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1782,1,1,0,11,12,ST_SHIFT_IR,ST_EXIT1_IR
     1783,1,1,0,12,15,ST_EXIT1_IR,ST_UPDATE_IR
     1784,0,1,0,15,1,ST_UPDATE_IR,ST_RUN_TEST_IDLE
     1785,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
     1786,0,0,0,2,3,ST_SELECT_DR_SCAN,ST_CAPTURE_DR
     1787,0,0,0,3,4,ST_CAPTURE_DR,ST_SHIFT_DR
     1788,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1789,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1790,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1791,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1792,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1793,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1794,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1795,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1796,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
