SPL,TMS,TDI,TDO,CST,FST,HCST,HFST
2053,0,0,0,2,3,ST_SELECT_DR_SCAN,ST_CAPTURE_DR
2054,0,0,0,3,4,ST_CAPTURE_DR,ST_SHIFT_DR
2055,0,0,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2056,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2057,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2058,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2059,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2060,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2061,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2062,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2063,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2064,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2065,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2066,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2067,0,1,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2068,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2069,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2070,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2071,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2072,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2073,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2074,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2075,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2076,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2077,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2078,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2079,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2080,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2081,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2082,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2083,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2084,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2085,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2086,1,0,0,4,5,ST_SHIFT_DR,ST_EXIT1_DR
2087,0,0,0,5,6,ST_EXIT1_DR,ST_PAUSE_DR
2088,1,0,0,6,7,ST_PAUSE_DR,ST_EXIT2_DR
2089,0,0,0,7,4,ST_EXIT2_DR,ST_SHIFT_DR
2090,1,1,0,4,5,ST_SHIFT_DR,ST_EXIT1_DR
2091,1,1,0,5,8,ST_EXIT1_DR,ST_UPDATE_DR
2092,0,1,0,8,1,ST_UPDATE_DR,ST_RUN_TEST_IDLE
2093,0,0,0,1,1,ST_RUN_TEST_IDLE,ST_RUN_TEST_IDLE
2094,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
2095,1,0,0,2,9,ST_SELECT_DR_SCAN,ST_SELECT_IR_SCAN
2096,0,0,0,9,10,ST_SELECT_IR_SCAN,ST_CAPTURE_IR
2097,0,0,0,10,11,ST_CAPTURE_IR,ST_SHIFT_IR
2098,0,0,1,11,11,ST_SHIFT_IR,ST_SHIFT_IR
2099,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
2100,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
2101,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
2102,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
2103,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
2104,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
2105,1,1,0,11,12,ST_SHIFT_IR,ST_EXIT1_IR
2106,1,1,0,12,15,ST_EXIT1_IR,ST_UPDATE_IR
2107,0,1,0,15,1,ST_UPDATE_IR,ST_RUN_TEST_IDLE
2108,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
2109,0,0,0,2,3,ST_SELECT_DR_SCAN,ST_CAPTURE_DR
2110,0,0,0,3,4,ST_CAPTURE_DR,ST_SHIFT_DR
2111,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2112,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2113,0,1,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2114,0,0,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2115,0,1,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2116,0,1,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
