Sample   	JTAG        	CLK	TCK	TMS	TRST	TDI	TDO	HALT	 Timestamp
      831	0001001     	0  	0  	0  	1   	0  	0  	1   	333.375 ns
      832	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
      833	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      834	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
      835	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      836	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      837	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
      838	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
      839	0001001     	0  	0  	0  	1   	0  	0  	1   	125.000 ns
      840	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
      841	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.750 ns
      842	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      843	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
      844	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.750 ns
      845	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      846	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      847	0001001     	0  	0  	0  	1   	0  	0  	1   	125.125 ns
      848	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.500 ns
      849	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      850	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
      851	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.750 ns
      852	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
      853	0001111     	0  	0  	0  	1   	1  	1  	1   	 41.750 ns
      854	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.375 ns
      855	0001111     	0  	0  	0  	1   	1  	1  	1   	125.250 ns
      856	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.500 ns
      857	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.750 ns
      858	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
      859	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
      860	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.750 ns
      861	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
      862	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
      863	0011101     	0  	0  	1  	1   	1  	0  	1   	270.875 ns
      864	0011101     	0  	0  	1  	1   	1  	0  	1   	 41.625 ns
      865	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      866	0001001     	0  	0  	0  	1   	0  	0  	1   	270.750 ns
      867	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.625 ns
      868	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.750 ns
      869	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      870	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
      871	0001011     	0  	0  	0  	1   	0  	1  	1   	270.750 ns
      872	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      873	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      874	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      875	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
      876	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
      877	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      878	0011001     	0  	0  	1  	1   	0  	0  	1   	270.750 ns
      879	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.750 ns
      880	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      881	0011001     	0  	0  	1  	1   	0  	0  	1   	270.750 ns
      882	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
      883	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      884	0001011     	0  	0  	0  	1   	0  	1  	1   	333.250 ns
      885	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      886	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
      887	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      888	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      889	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      890	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      891	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      892	0001001     	0  	0  	0  	1   	0  	0  	1   	125.000 ns
      893	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      894	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.375 ns
      895	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.875 ns
      896	0001111     	0  	0  	0  	1   	1  	1  	1   	 41.625 ns
      897	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
      898	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
      899	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      900	0001101     	0  	0  	0  	1   	1  	0  	1   	125.125 ns
      901	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.500 ns
      902	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      903	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
      904	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
      905	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
      906	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      907	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
      908	0001001     	0  	0  	0  	1   	0  	0  	1   	125.000 ns
      909	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      910	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      911	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
      912	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
      913	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      914	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
      915	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
      916	0011101     	0  	0  	1  	1   	1  	0  	1   	271.000 ns
      917	0011101     	0  	0  	1  	1   	1  	0  	1   	 41.625 ns
      918	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
      919	0001001     	0  	0  	0  	1   	0  	0  	1   	270.875 ns
      920	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.500 ns
      921	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.750 ns
      922	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      923	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
      924	0001011     	0  	0  	0  	1   	0  	1  	1   	270.875 ns
      925	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
      926	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      927	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      928	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      929	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
      930	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      931	0011001     	0  	0  	1  	1   	0  	0  	1   	270.750 ns
      932	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.625 ns
      933	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      934	0011001     	0  	0  	1  	1   	0  	0  	1   	270.875 ns
      935	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      936	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      937	0001011     	0  	0  	0  	1   	0  	1  	1   	333.375 ns
      938	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      939	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
      940	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      941	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      942	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      943	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
      944	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      945	0001101     	0  	0  	0  	1   	1  	0  	1   	125.000 ns
      946	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      947	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
      948	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      949	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
      950	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      951	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
      952	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
      953	0001001     	0  	0  	0  	1   	0  	0  	1   	125.000 ns
      954	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      955	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
      956	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
      957	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
